Quantity,1 Color,2 Color,3 Color,4 Color,5 Color,6 Color,Product Markup %
12,6.0,7.0,8.0,9.0,10.0,11.0,140.0
24,2.5,3.25,4.0,4.75,5.5,6.25,140.0
48,2.0,2.5,3.0,3.5,4.0,4.5,140.0
72,1.3,1.55,1.8,2.05,2.3,2.55,140.0
144,1.0,1.25,1.5,1.75,2.0,2.25,140.0
288,0.9,1.05,1.2,1.35,1.5,1.65,140.0
500,0.7,0.8,0.9,1.0,1.1,1.2,140.0
1000,0.65,0.7,0.75,0.8,0.85,0.9,140.0
2500,0.6,0.65,0.7,0.75,0.8,0.85,140.0
5000,0.55,0.6,0.65,0.7,0.75,0.8,140.0
