Quantity,1 Color,2 Color,3 Color,4 Color,5 Color,6 Color,Product Markup %
12,6.75,7.75,8.75,9.75,10.75,11.75,145.0
24,2.85,3.65,4.45,5.25,6.05,6.85,145.0
48,2.25,2.85,3.45,4.05,4.65,5.25,145.0
72,1.5,1.8,2.1,2.4,2.7,3.0,145.0
144,1.25,1.5,1.75,2.0,2.25,2.5,145.0
288,1.1,1.25,1.4,1.55,1.7,1.95,145.0
500,0.85,0.95,1.05,1.15,1.25,1.45,145.0
1000,0.75,0.8,0.85,0.9,1.0,1.1,145.0
2500,0.7,0.75,0.8,0.85,0.9,0.95,145.0
5000,0.65,0.7,0.75,0.8,0.85,0.9,145.0
