Quantity,LC 4x4,A5 8.3Wx5.5H; 11.7Wx4.25H,A4 11.7Wx8.3H,SQ 11.7x11.7,A3 - 11.7Wx16.5H,Product Markup %
10,5.33,6.59,7.59,9.14,10.7,175.0
20,4.7,5.75,6.57,7.87,9.17,175.0
50,3.82,4.53,5.43,6.55,7.67,175.0
100,3.21,3.6,4.2,5.01,5.81,175.0
200,2.99,3.26,3.71,4.4,5.08,175.0
300,2.81,3.09,3.53,4.17,4.8,175.0
500,2.75,2.97,3.41,4.01,4.62,175.0
